SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,bedrooms,bathrooms,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,latitude,longitude,crime_index,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
MLS Listing,,Condo/Co-op,181 Essex St Unit E403,Boston,MA,2111,695000,1.0,1.0,Leather District,787.0,,2006.0,1,883.0,458.0,Active,January-26-2019 11:30 AM,January-26-2019 12:30 PM,http://www.redfin.com/MA/Boston/181-Essex-St-02111/unit-E403/home/12439471,MLS PIN,72445148,N,Y,42.351981,-71.0577947,2.6004446697721217,0.93807104888321,3.4876963999845803,4.625692488817343,0.919611658260235,2.0405818398657436,0.838336038089576,3.482075993168772,10.195061147766364
MLS Listing,,Multi-Family (2-4 Unit),14 Norwell St,Boston,MA,2121,800000,8.0,3.0,Dorchester,2595.0,1555.0,1890.0,1,308.0,,Active,,,http://www.redfin.com/MA/Dorchester/14-Norwell-St-02121/home/9081489,MLS PIN,72445141,N,Y,42.301742299999994,-71.078096,2.665292950235571,3.1642531720664837,5.3935436402261505,5.281851204016699,3.365752223626501,2.726078865252994,4.457948099401025,1.5575237904940378,7.477613489364305
MLS Listing,,Multi-Family (5+ Unit),3-5 Westminster Ave,Boston,MA,2119,2199000,21.0,8.5,Roxbury,6462.0,6048.0,1912.0,1,340.0,,Active,,,http://www.redfin.com/MA/Boston/3-Westminster-Ave-02119/home/151070476,MLS PIN,72445137,N,Y,42.316753999999996,-71.0970415,2.6679788125972514,2.4031012536745764,4.089227575850414,3.8622493938821156,2.5724047663013274,1.5752980802883196,3.930122180995271,0.35452463909200616,8.879291951950911
MLS Listing,,Townhouse,11 Rushmore St #11,Boston,MA,2135,649900,2.0,2.0,Brighton,1133.0,3920.0,1920.0,1,574.0,150.0,Active,January-26-2019 11:00 AM,January-26-2019 01:00 PM,http://www.redfin.com/MA/Boston/11-Rushmore-St-02135/unit-11/home/113223360,MLS PIN,72445135,N,Y,42.346103,-71.15513299999999,2.3921796760432184,4.098515371153622,2.639549198798313,0.9140680596018996,4.081081325199467,3.168921133073928,5.3343710281610255,3.441267575499996,12.307564118396433
MLS Listing,,Single Family Residential,93 Babson St,Boston,MA,2126,415750,3.0,1.5,Mattapan,1352.0,4700.0,1950.0,1,308.0,,Active,February-2-2019 02:00 PM,February-2-2019 03:15 PM,http://www.redfin.com/MA/Mattapan/93-Babson-St-02126/home/9157445,MLS PIN,72445127,N,Y,42.2727179,-71.0921408,2.5819206903942327,5.237056603832695,7.103915749511472,6.550025896289027,5.43285825873714,4.607347856659935,6.583960466466359,2.9354967371534855,6.4226850183600375
MLS Listing,,Condo/Co-op,128 Beacon Unit A,Boston,MA,2116,7990000,3.0,3.5,Back Bay,4112.0,,1899.0,1,1943.0,4276.0,Active,,,http://www.redfin.com/MA/Boston/128-Beacon-St-02116/unit-A/home/11838668,MLS PIN,72445084,N,Y,42.35518,-71.07464399999999,2.613477336311597,0.5283454001593104,2.6193126670471925,3.748944649130977,0.3289446652573551,1.4660473215211782,1.2248512399241158,3.1697369631546826,10.690521678059303
MLS Listing,,Condo/Co-op,24 Harvard St #3,Boston,MA,2129,539000,1.0,1.0,Charlestown,513.0,,1880.0,1,1051.0,274.0,Active,January-24-2019 05:30 PM,January-24-2019 06:30 PM,http://www.redfin.com/MA/Boston/24-Harvard-St-02129/unit-3/home/9053761,MLS PIN,72445082,N,Y,42.372368,-71.06337579999999,2.5303256717952536,1.8163263158764715,2.8662418709642186,4.42936453578908,1.6365399200844797,2.757018011631405,0.7752215813727175,4.488513696478905,11.62421481928837
MLS Listing,,Multi-Family (2-4 Unit),47 Mount Bowdoin Ter,Boston,MA,2121,889000,8.0,2.0,Boston,3662.0,5841.0,1900.0,1,243.0,,Active,,,http://www.redfin.com/MA/Dorchester/47-Mt-Bowdoin-Ter-02121/home/9074959,MLS PIN,72445054,N,Y,42.3027566,-71.07496359999999,2.6649815390384486,3.090550496235659,5.394793338133114,5.34114967733848,3.2935778754066245,2.712444678933275,4.347833628357921,1.6573839363184641,7.45046796805596
MLS Listing,,Condo/Co-op,57 E Concord St #2,Boston,MA,2118,925000,2.0,1.0,South End,1348.0,1348.0,1900.0,1,686.0,595.0,Active,January-27-2019 12:00 PM,January-27-2019 01:30 PM,http://www.redfin.com/MA/Boston/57-E-Concord-St-02118/unit-2/home/9285299,MLS PIN,72445048,N,Y,42.3364715,-71.0735445,2.6596327828239783,0.7676713246832229,3.4758184348237653,4.0845010744660355,0.9722847691204771,1.0623602922406818,2.1391291700305235,2.1499000669350163,9.477495120839572
MLS Listing,,Condo/Co-op,8 Seminary St #8,Boston,MA,2129,749000,3.0,1.5,Charlestown,1193.0,,1899.0,1,628.0,340.0,Active,January-27-2019 01:00 PM,January-27-2019 02:00 PM,http://www.redfin.com/MA/Boston/8-Seminary-St-02129/unit-8/home/150757387,MLS PIN,72445045,N,Y,42.37488079999999,-71.06453,2.519525705046881,1.9637311537042454,2.807074881052535,4.413815023495826,1.7781654193979755,2.87018085483754,0.9485631148265435,4.617988803634533,11.807311244262234
