station,latitude,longitude
JFK / UMass Station,42.32143786294873,-71.05239272117615
South Station,42.351709611022265,-71.05499982833862
Haverhill,42.772684,-71.085962
Bradford,42.768899,-71.085998
Lawrence,42.700094,-71.159797
Andover,42.657798,-71.144156
Ballardvale,42.626449,-71.159653
North Wilmington,42.568462,-71.159724
Reading,42.52148,-71.10744
Wakefield,42.501811,-71.075
Greenwood,42.483473,-71.067233
Melrose Highlands,42.468793,-71.06827
Melrose/Cedar Park,42.459128,-71.069448
Wyoming Hill,42.452097,-71.069518
Malden Center,42.426407,-71.074227
North Station,42.365512,-71.061423
Lowell,42.638402,-71.314916
North Billerica,42.592881,-71.280869
Wilmington,42.546368,-71.173569
Anderson/Woburn,42.518082,-71.13865
Mishawum,42.503595,-71.137511
Winchester Center,42.45265,-71.137041
Wedgemere,42.445284,-71.140909
West Medford,42.421184,-71.132468
North Station,42.365512,-71.061423
Ballardvale,42.626449,-71.159653
Wilmington,42.546368,-71.173569
Needham Heights,42.293139,-71.235087
Needham Center,42.280274,-71.238089
Needham Junction,42.273327,-71.238007
Hersey,42.275842,-71.214853
West Roxbury,42.2816,-71.159932
Highland,42.284869,-71.1547
Bellevue,42.287138,-71.14606
Roslindale Village,42.287206,-71.12961
Forest Hills Station,42.300362,-71.113411
Ruggles Station,42.335667478784956,-71.09052300453186
Beverly Depot,42.546907,-70.885168
Salem,42.523927,-70.898903
Swampscott,42.473739,-70.922036
Lynn,42.462293,-70.947794
River Works,42.453804,-70.975698
Chelsea,42.39564,-71.034803
North Station,42.365512,-71.061423
Rockport,42.656173,-70.625616
Gloucester,42.616069,-70.668767
West Gloucester,42.610928,-70.706456
Manchester,42.57357,-70.770473
Beverly Farms,42.561403,-70.812745
Prides Crossing,42.559513,-70.824813
Montserrat,42.561483,-70.870035
Beverly Depot,42.546907,-70.885168
Newburyport,42.800292,-70.880262
Rowley,42.725351,-70.859436
Ipswich,42.678355,-70.840024
Hamilton/Wenham,42.610756,-70.874005
North Beverly,42.582471,-70.884501
Beverly Depot,42.546907,-70.885168
Canton Junction,42.163423,-71.153374
Route 128,42.209884,-71.1471
Hyde Park,42.255121,-71.125022
Providence,41.829641,-71.413332
South Attleboro,41.897943,-71.354621
Attleboro,41.942097,-71.284897
Mansfield,42.032734,-71.219318
Sharon,42.124804,-71.183213
Canton Junction,42.163423,-71.153374
Stoughton,42.123818,-71.10309
Canton Center,42.156769,-71.14553
Canton Junction,42.163423,-71.153374
Plymouth,41.981184,-70.692514
Kingston/Route 3,41.978548,-70.720315
Halifax,42.012867,-70.820832
Hanson,42.043262,-70.881553
Whitman,42.083563,-70.923204
Abington,42.108034,-70.935296
South Weymouth,42.153747,-70.95249
Braintree Station,42.20878042409267,-71.00133419036865
Braintree Station,42.20878042409267,-71.00133419036865
Quincy Center Station,42.250879,-71.004798
Middleborough/Lakeville,41.87821,-70.918444
Bridgewater,41.986355,-70.966625
Campello,42.060038,-71.01246
Brockton,42.08572,-71.01686
Montello,42.106047,-71.021078
Holbrook/Randolph,42.155314,-71.027518
Braintree Station,42.20878042409267,-71.00133419036865
