SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,320 W 2nd St #213,Boston,MA,02127,679999,2,1.0,South Boston,765,10000,1920,1,889,453,Active,February-24-2019 12:00 PM,February-24-2019 02:00 PM,http://www.redfin.com/MA/Boston/320-W-2nd-St-02127/unit-213/home/148032726,MLS PIN,72454465,N,Y,42.3389923,-71.0473329
MLS Listing,,Single Family Residential,117 Wayland St,Boston,MA,02125,450000,5,2.0,Boston,1490,2400,1900,1,302,,Active,,,http://www.redfin.com/MA/Boston/117-Wayland-St-02125/home/9067551,MLS PIN,72454466,N,Y,42.3144078,-71.0770527
MLS Listing,,Multi-Family (2-4 Unit),2 Hutchings St,Boston,MA,02121,899000,7,3.0,Dorchester,4000,8320,1899,1,225,,Active,,,http://www.redfin.com/MA/Boston/2-Hutchings-St-02121/home/9096916,MLS PIN,72454449,N,Y,42.3092443,-71.0883804
MLS Listing,,Condo/Co-op,47 Haynes St #1,Boston,MA,02128,599000,2,2.0,East Boston's Jeffries Point,1035,1035,1900,1,579,145,Active,February-23-2019 12:00 PM,February-23-2019 01:30 PM,http://www.redfin.com/MA/Boston/47-Haynes-St-02128/unit-1/home/18977409,MLS PIN,72454443,N,Y,42.3662731,-71.0373685
MLS Listing,,Condo/Co-op,17 E Springfield St #1,Boston,MA,02118,699900,1,1.0,South End,621,,1900,1,1127,139,Active,,,http://www.redfin.com/MA/Boston/17-E-Springfield-St-02118/unit-1/home/9285728,MLS PIN,72454433,N,Y,42.3363465,-71.0759096
MLS Listing,,Condo/Co-op,770 Cummins Hwy #4,Boston,MA,02126,169900,2,1.0,Boston,614,614,1970,1,277,209,Active,,,http://www.redfin.com/MA/Boston/770-Cummins-Hwy-02126/unit-4/home/9158021,MLS PIN,72454424,N,Y,42.2706275,-71.0996297
MLS Listing,,Condo/Co-op,145 Pinckney St #706,Boston,MA,02114,799000,1,1.0,Beacon Hill,625,,1952,1,1278,745,Active,,,http://www.redfin.com/MA/Boston/145-Pinckney-St-02114/unit-706/home/9256221,MLS PIN,72454413,N,Y,42.3590978,-71.0715924
MLS Listing,,Condo/Co-op,9 Adelaide #1,Somerville,MA,02143,1199000,3,3.0,Somerville,2021,,1860,1,593,175,Active,February-23-2019 12:00 PM,February-23-2019 02:00 PM,http://www.redfin.com/MA/Somerville/9-Adelaide-Rd-02143/unit-1/home/148034016,MLS PIN,72454395,N,Y,42.3870549,-71.1155377
MLS Listing,,Multi-Family (5+ Unit),603 Massachusetts Ave,Boston,MA,02118,2695000,10,6.0,South End,5750,1680,1898,1,469,,Active,,,http://www.redfin.com/MA/Boston/603-Massachusetts-Ave-02118/home/9290478,MLS PIN,72454376,N,Y,42.3371356,-71.0781785
MLS Listing,,Condo/Co-op,191 W 8Th St #5,Boston,MA,02127,875000,2,2.0,South Boston,1249,,2015,1,701,181,Active,,,http://www.redfin.com/MA/Boston/191-W-8th-St-02127/unit-5/home/82336382,MLS PIN,72454358,N,Y,42.3334392,-71.0521589
MLS Listing,,Condo/Co-op,9 Adelaide #2,Somerville,MA,02143,1099000,3,2.0,Somerville,1488,,1860,1,739,175,Active,February-23-2019 12:00 PM,February-23-2019 02:00 PM,http://www.redfin.com/MA/Somerville/9-Adelaide-Rd-02143/unit-2/home/148034019,MLS PIN,72454357,N,Y,42.3870549,-71.1155377
MLS Listing,,Condo/Co-op,1 Franklin St #1404,Boston,MA,02110,2150000,2,2.0,Midtown,1498,,2016,1,1435,1464,Active,,,http://www.redfin.com/MA/Boston/1-Franklin-St-02110/unit-1404/home/143156146,MLS PIN,72454348,N,Y,42.3563166,-71.0595573
MLS Listing,,Condo/Co-op,566 Commonwealth #607,Boston,MA,02215,485000,1,1.0,Kenmore Square,845,,1968,1,574,1135,Active,February-23-2019 11:00 AM,February-23-2019 01:00 PM,http://www.redfin.com/MA/Boston/566-Commonwealth-Ave-02215/unit-607/home/55055580,MLS PIN,72454320,N,Y,42.3487227,-71.0988578
MLS Listing,,Condo/Co-op,1 Franklin St #1708,Boston,MA,02110,2250000,2,2.0,Midtown,1566,,2016,1,1437,1397,Active,February-23-2019 02:00 PM,February-23-2019 03:00 PM,http://www.redfin.com/MA/Boston/1-Franklin-St-02110/unit-1708/home/145254447,MLS PIN,72454307,N,Y,42.3563166,-71.0595573
MLS Listing,,Condo/Co-op,928 E Broadway #1,Boston,MA,02127,1495000,2,2.0,South Boston's City Point,1608,,2017,1,930,681,Active,February-23-2019 12:00 PM,February-23-2019 01:00 PM,http://www.redfin.com/MA/Boston/928-E-Broadway-02127/unit-1/home/109275259,MLS PIN,72454236,N,Y,42.3361575,-71.0268868
MLS Listing,,Condo/Co-op,111 Beach St Unit 5C,Boston,MA,02111,1100000,1,1.0,Leather District,1390,1390,1899,2,791,613,Active,February-19-2019 05:00 PM,February-19-2019 07:00 PM,http://www.redfin.com/MA/Boston/111-Beach-St-02111/unit-5C/home/160489394,MLS PIN,72454212,N,Y,42.3504614,-71.0579946
MLS Listing,,Condo/Co-op,56 Sawyer Ave #2,Boston,MA,02125,769999,6,2.0,Dorchester,3113,3113,1900,2,247,417,Active,February-23-2019 11:00 AM,February-23-2019 01:00 PM,http://www.redfin.com/MA/Boston/56-Sawyer-Ave-02125/unit-2/home/21719432,MLS PIN,72454200,N,Y,42.3119567,-71.061008
MLS Listing,,Multi-Family (2-4 Unit),18 Fernboro St,Boston,MA,02121,589900,9,3.0,Boston,4167,2709,1900,2,142,,Active,February-23-2019 03:30 PM,February-23-2019 04:30 PM,http://www.redfin.com/MA/Boston/18-Fernboro-St-02121/home/9065029,MLS PIN,72454159,N,Y,42.3110588,-71.0772384
MLS Listing,,Multi-Family (2-4 Unit),63 Marshfield St,Boston,MA,02119,699900,6,3.0,Boston,3264,2891,1905,2,214,,Active,,,http://www.redfin.com/MA/Boston/63-Marshfield-St-02119/home/9291299,MLS PIN,72454158,N,Y,42.3232473,-71.0679068
MLS Listing,,Multi-Family (2-4 Unit),50 Wheatlave Ave,Boston,MA,02124,985000,12,3.0,Boston,4587,6929,1905,3,215,,Active,,,http://www.redfin.com/MA/Boston/50-Wheatland-Ave-02124/home/9073226,MLS PIN,72454091,N,Y,42.2931088,-71.0741743
MLS Listing,,Multi-Family (2-4 Unit),181 Bowen St,Boston,MA,02127,1200000,6,3.0,Boston,1638,1125,1890,3,733,,Active,,,http://www.redfin.com/MA/Boston/181-Bowen-St-02127/home/11508282,MLS PIN,72454085,N,Y,42.3364163,-71.0518003
MLS Listing,,Condo/Co-op,21 Chauncy St Unit 1B,Cambridge,MA,02138,499000,1,1.0,Cambridge,500,,1900,3,998,188,Active,February-21-2019 10:00 AM,February-21-2019 12:00 PM,http://www.redfin.com/MA/Cambridge/21-Chauncy-St-02138/unit-1B/home/11586051,MLS PIN,72454084,N,Y,42.3796749,-71.1230811
MLS Listing,,Condo/Co-op,50 Follen St #107,Cambridge,MA,02138,799000,2,1.0,Cambridge,1035,,1925,3,772,407,Active,,,http://www.redfin.com/MA/Cambridge/50-Follen-St-02138/unit-107/home/11576205,MLS PIN,72454083,N,Y,42.3781182,-71.1212661
MLS Listing,,Condo/Co-op,45 Burnett St #303,Boston,MA,02130,699000,2,2.0,Jamaica Plain,1027,29669,2019,3,681,487,Active,,,http://www.redfin.com/MA/Boston/45-Burnett-St-02130/unit-303/home/160477033,MLS PIN,72454047,N,Y,42.3044838,-71.110609
MLS Listing,,Multi-Family (2-4 Unit),40-42 Creighton St,Cambridge,MA,02140,1650000,8,3.0,Cambridge,3525,4000,1895,3,468,,Active,,,http://www.redfin.com/MA/Cambridge/40-Creighton-St-02140/home/11583680,MLS PIN,72454039,N,Y,42.3897657,-71.1229642
MLS Listing,,Condo/Co-op,363 Marlborough St #6,Boston,MA,02115,1199000,2,1.0,Back Bay,930,930,1880,3,1289,314,Active,,,http://www.redfin.com/MA/Boston/363-Marlborough-St-02115/unit-6/home/9243737,MLS PIN,72454014,N,Y,42.3508278,-71.0868994
MLS Listing,,Single Family Residential,66 Lancaster Rd,Dedham,MA,02026,169000,2,1.0,Dedham,914,6000,1947,3,185,,Active,,,http://www.redfin.com/MA/Dedham/66-Lancaster-Rd-02026/home/8874773,MLS PIN,72453961,N,Y,42.2310471,-71.1381906
MLS Listing,,Condo/Co-op,181 Bowen St #1,Boston,MA,02127,399900,2,1.0,South Boston,468,,1890,4,854,260,Active,,,http://www.redfin.com/MA/Boston/181-Bowen-St-02127/unit-1/home/160474351,MLS PIN,72453937,N,Y,42.3363698,-71.0516045
MLS Listing,,Condo/Co-op,181 Bowen St #3,Boston,MA,02127,409900,2,1.0,South Boston,534,,1890,4,768,260,Active,,,http://www.redfin.com/MA/Boston/181-Bowen-St-02127/unit-3/home/160474350,MLS PIN,72453936,N,Y,42.3363698,-71.0516045
MLS Listing,,Condo/Co-op,181 Bowen St #2,Boston,MA,02127,399900,2,1.0,South Boston,466,,1890,4,858,260,Active,,,http://www.redfin.com/MA/Boston/181-Bowen-St-02127/unit-2/home/160474343,MLS PIN,72453935,N,Y,42.3363698,-71.0516045
MLS Listing,,Condo/Co-op,1572 Commonwealth Ave #6,Boston,MA,02135,375000,1,1.0,Brighton,556,,1920,4,674,397,Active,,,http://www.redfin.com/MA/Boston/1572-Commonwealth-Ave-02135/unit-6/home/9016987,MLS PIN,72453883,N,Y,42.3441875,-71.1420876
MLS Listing,,Multi-Family (2-4 Unit),532 E 5Th St,Boston,MA,02127,1375000,5,3.5,South Boston,2490,1582,1899,4,552,,Active,,,http://www.redfin.com/MA/Boston/532-E-5th-St-02127/home/9193689,MLS PIN,72453880,N,Y,42.334027,-71.0390814
MLS Listing,,Condo/Co-op,85 Willow Ct #3,Boston,MA,02125,749000,2,2.0,Dorchester,1376,,2018,4,544,300,Active,,,http://www.redfin.com/MA/Dorchester/85-Willow-Ct-02125/unit-3/home/160471541,MLS PIN,72453831,N,Y,42.3248449,-71.0641578
MLS Listing,,Condo/Co-op,84 Gordon St #303,Boston,MA,02135,385000,1,1.0,Allston,519,,1910,4,742,337,Active,,,http://www.redfin.com/MA/Boston/84-Gordon-St-02135/unit-303/home/9226553,MLS PIN,72453811,N,Y,42.3495152,-71.1392181
MLS Listing,,Single Family Residential,475 Concord Ave,Cambridge,MA,02138,996000,3,2.5,Middle One in Three attached Single Family Home,1452,1080,2013,4,686,,Active,,,http://www.redfin.com/MA/Cambridge/475-Concord-Ave-02138/home/86088043,MLS PIN,72453800,N,Y,42.3867068,-71.1401125
MLS Listing,,Condo/Co-op,85 Willow Ct Ph 1,Boston,MA,02125,1299000,3,2.0,Dorchester,1682,,2018,4,772,450,Active,,,http://www.redfin.com/MA/Dorchester/85-Willow-Ct-02125/unit-1/home/160471148,MLS PIN,72453782,N,Y,42.3248449,-71.0641578
MLS Listing,,Single Family Residential,71 Robin,Boston,MA,02132,599000,3,1.5,Bellevue Hill,1329,8602,1956,4,451,,Active,,,http://www.redfin.com/MA/West-Roxbury/71-Robin-St-02132/home/9221475,MLS PIN,72453777,N,Y,42.2776692,-71.1445963
MLS Listing,,Single Family Residential,42 Westmoor Rd,Boston,MA,02132,579900,3,3.0,West Roxbury,1408,5859,1960,4,412,,Active,,,http://www.redfin.com/MA/West-Roxbury/42-Westmoor-Rd-02132/home/9223136,MLS PIN,72453775,N,Y,42.2633747,-71.1508627
MLS Listing,,Condo/Co-op,9 Medford St #607,Somerville,MA,02143,649000,1,1.0,Somerville,811,,1916,4,800,581,Active,February-23-2019 11:00 AM,February-23-2019 01:30 PM,http://www.redfin.com/MA/Somerville/9-Medford-St-02143/unit-607/home/160471042,MLS PIN,72453763,N,Y,42.3742011,-71.0868252
MLS Listing,,Condo/Co-op,6 Ashland St #3,Boston,MA,02122,639000,2,2.0,Boston,1178,,2016,4,542,347,Active,,,http://www.redfin.com/MA/Boston/6-Ashland-St-02122/unit-3/home/104494797,MLS PIN,72453643,N,Y,42.3008215,-71.0540769
MLS Listing,,Condo/Co-op,100 Trenton St #1,Boston,MA,02128,525000,2,1.0,Boston,1177,1625,1884,4,446,,Active,,,http://www.redfin.com/MA/Boston/100-Trenton-St-02128/unit-1/home/148432912,MLS PIN,72453602,N,Y,42.3793157,-71.0357372
MLS Listing,,Single Family Residential,100 Trenton St,Boston,MA,02128,525000,2,1.0,Eagle Hill,1177,1625,1884,4,446,,Active,,,http://www.redfin.com/MA/Boston/100-Trenton-St-02128/home/11835429,MLS PIN,72453601,N,Y,42.3793157,-71.0357372
MLS Listing,,Multi-Family (2-4 Unit),29 Southern Ave,Boston,MA,02124,950000,9,4.0,Dorchester,4375,4463,1920,4,217,,Active,,,http://www.redfin.com/MA/Boston/29-Southern-Ave-02124/home/9077071,MLS PIN,72453597,N,Y,42.2907868,-71.0731994
MLS Listing,,Townhouse,190 Sydney St Unit C,Boston,MA,02125,799000,3,2.5,Dorchester,1827,2352,2004,4,437,200,Active,February-24-2019 12:00 PM,February-24-2019 01:30 PM,http://www.redfin.com/MA/Boston/190-Sydney-St-02125/unit-C/home/9330352,MLS PIN,72453530,N,Y,42.3181864,-71.0527716
MLS Listing,,Townhouse,735 Harrison Ave Unit W105,Boston,MA,02118,989000,2,2.0,South End,1111,1111,2006,5,890,466,Active,,,http://www.redfin.com/MA/Boston/735-Harrison-Ave-02118/unit-W105/home/21717977,MLS PIN,72453513,N,Y,42.3380415,-71.0716714
MLS Listing,,Multi-Family (2-4 Unit),124 Devon,Boston,MA,02121,724999,10,3.5,Boston,3368,3700,1900,5,215,,Active,,,http://www.redfin.com/MA/Boston/124-Devon-St-02121/home/11834144,MLS PIN,72453500,N,Y,42.3084343,-71.0770991
MLS Listing,,Condo/Co-op,1423 Commonwealth Ave #202,Boston,MA,02135,395000,1,1.0,Brighton,519,519,1920,5,761,369,Active,,,http://www.redfin.com/MA/Boston/1423-Commonwealth-Ave-02135/unit-202/home/9011758,MLS PIN,72453458,N,Y,42.3491553,-71.1394692
MLS Listing,,Multi-Family (2-4 Unit),108 Princeton St,Boston,MA,02128,699900,6,4.0,East Boston,3000,2500,1880,5,233,,Active,,,http://www.redfin.com/MA/Boston/108-Princeton-St-02128/home/9119626,MLS PIN,72453450,N,Y,42.3777463,-71.0357435
MLS Listing,,Multi-Family (2-4 Unit),30 Edgewood St,Boston,MA,02119,999999,8,3.0,Boston,3270,3716,1905,5,306,,Active,,,http://www.redfin.com/MA/Boston/30-Edgewood-St-02119/home/11736333,MLS PIN,72453430,N,Y,42.3186638,-71.0804418
MLS Listing,,Single Family Residential,2496 CENTRE St,Boston,MA,02132,599000,3,2.0,West Roxbury,1516,3435,1920,5,395,,Active,,,http://www.redfin.com/MA/West-Roxbury/2496-Centre-St-02132/home/9222296,MLS PIN,72453414,N,Y,42.265311,-71.1626333
MLS Listing,,Condo/Co-op,239 Kelton St #22,Boston,MA,02134,499000,2,1.0,Boston,690,690,1965,5,723,388,Active,,,http://www.redfin.com/MA/Boston/239-Kelton-St-02134/unit-22/home/9000971,MLS PIN,72453411,N,Y,42.3462273,-71.1358929
MLS Listing,,Condo/Co-op,488 Dorchester Ave Unit 4-G,Boston,MA,02127,895000,2,2.0,South Boston,1225,,2016,5,731,375,Active,,,http://www.redfin.com/MA/Boston/488-Dorchester-Ave-02127/unit-4G/home/107388631,MLS PIN,72453403,N,Y,42.3322255,-71.0567642
MLS Listing,,Condo/Co-op,105 Beacon St #4,Boston,MA,02116,699000,0,1.0,Back Bay,548,,1900,5,1276,291,Active,February-20-2019 12:00 PM,February-20-2019 01:30 PM,http://www.redfin.com/MA/Boston/105-Beacon-St-02116/unit-4/home/12440173,MLS PIN,72453395,N,Y,42.3550346,-71.0729527
