n_neighborhoods,n_estimators,kernel_bandwidth,kernel_type,max_depth,train_score,test_score
5,114,0.001224718505075176,gaussian,6,31.441071026332935,35.453855261174425
9,141,0.004502122506231433,gaussian,11,21.38961634506032,35.46328050342959
5,55,0.0028939847752025498,exponential,4,34.438322105911396,35.47228408520755
6,42,0.0048802577088155035,gaussian,5,33.31542093103664,35.47561932428559
4,22,0.0052856312499483,exponential,9,26.033231121646054,35.48163303172717
3,76,0.002177602899300759,tophat,5,33.377524573401104,35.48534580270672
10,50,0.004103283227678389,gaussian,4,34.38259803841342,35.49649735713572
3,90,0.0013526758860377766,exponential,7,29.62984908753964,35.49782061746339
7,108,0.006893200666831268,tophat,4,34.60553004249081,35.49914409489887
4,17,0.0011852770500145812,exponential,11,22.19163564631505,35.51188727817373
3,58,0.0052252820232380655,tophat,7,29.89912735462576,35.51949841186337
8,65,0.005479530258167336,tophat,5,32.96916721020904,35.521596417522105
11,120,0.005534142108830424,exponential,6,31.42593796988652,35.53419150118083
10,45,0.009542692205365055,tophat,5,33.03757179843788,35.53982147299911
9,18,0.0022021432258470617,gaussian,5,33.21228973010119,35.54360746227013
6,56,0.009672856268230976,exponential,11,21.650135663617277,35.54497236216608
7,92,0.007367510066344507,exponential,5,33.33900170723797,35.556025641863656
3,135,0.00783715177164236,exponential,10,23.448975074125173,35.56140931479243
11,148,0.006875781344115785,gaussian,4,34.40408973942954,35.575901061243655
5,68,0.004491785551143692,gaussian,10,23.032678272609246,35.58209869131187
8,10,0.009272693589080705,exponential,5,33.67950863642142,35.58892895157413
6,12,0.004156647658207785,tophat,8,26.55825361409518,35.607931852347576
4,55,0.005896115324500195,gaussian,4,34.60685530563137,35.60881712003551
4,131,0.009399917030718083,exponential,6,31.381700895516445,35.64075110730337
6,24,0.006361492636492745,tophat,6,31.337575753101987,35.642127002015826
7,126,0.0051584200852450475,tophat,4,34.34765231256722,35.64397751899406
11,44,0.009966242407130054,exponential,4,34.62488585509807,35.645478639096694
3,145,0.003447518582402809,gaussian,4,34.32638550561168,35.64644609522013
10,79,0.007904293675084396,gaussian,10,23.72066854593635,35.65607825036915
10,82,0.006251806383738463,tophat,4,34.4473115436046,35.70608651019137
9,125,0.0062440984241769375,gaussian,5,33.64538658834422,35.71360373166118
5,73,0.0016302413092076406,gaussian,4,34.66744561432398,35.71875913336805
4,44,0.007847843920758723,gaussian,11,21.38161673527364,35.727107921614504
9,17,0.009741659317875212,exponential,3,34.55294679902542,35.731184637855876
5,119,0.009162346501803907,gaussian,4,34.46306404583308,35.76365522758222
5,142,0.002353471106770884,exponential,5,33.194182600784046,35.781569930067235
8,90,0.0025764755182468924,exponential,6,31.589505793029616,35.79724222362549
8,32,0.005219531732211987,gaussian,4,34.76071241910252,35.79928036176938
6,60,0.0038501700862590203,tophat,4,34.59896966246728,35.80048167313876
10,16,0.005057166560624761,tophat,4,34.508124155410826,35.83518172557888
10,116,0.007865963791450168,exponential,4,34.39334063780055,35.84311243751148
10,88,0.0051636237045379,tophat,4,34.67744347986732,35.858149224214
5,23,0.005201009254758761,tophat,9,25.536727548555234,35.868998952589266
10,90,0.004174691147684171,gaussian,4,34.526033074788444,35.87548758733328
10,131,0.004405268159076439,exponential,6,31.46300669085454,35.893344300336196
3,99,0.008280346098581045,exponential,4,34.38273341862396,35.91320401491116
5,37,0.0017331679992971987,gaussian,4,34.43871052819857,35.927460121856726
7,25,0.0002855538122511323,tophat,11,21.004174023895445,35.93383636760066
5,110,0.0007550627777689121,tophat,4,34.57955568529232,35.939975640305136
11,104,0.0058591446737490714,tophat,4,34.47408120477337,35.94735977458649
4,20,0.004348969159714661,gaussian,11,21.52401646985919,35.94865864424375
10,139,0.007380097628891938,gaussian,4,34.43438437847715,35.96500766471854
9,145,0.004742103534545648,tophat,4,34.33018478734776,35.96620118998831
6,10,0.004701300553842967,exponential,5,32.927066802719565,35.96772366126817
3,115,0.0090554656629739,gaussian,4,34.4594865919656,35.96952925018553
8,111,0.002468942054880835,gaussian,4,34.38906260380509,35.98464573966112
6,94,0.0030470182953599013,gaussian,4,34.27884872373755,35.98626371418959
8,100,0.003135864799267257,tophat,4,34.5169912003326,35.99400389920598
10,10,0.009090648785655856,gaussian,8,27.730906855236725,35.99839970470484
7,119,0.002961795671200774,gaussian,4,34.360195297977924,36.01579471118377
5,148,0.003383179901793936,exponential,4,34.33851074736398,36.031068172022685
7,41,0.005225548487363388,tophat,4,34.42730464325339,36.04232395024948
7,80,0.002474456624631154,exponential,4,34.74180864548154,36.0484955007194
7,137,0.007957704430999121,tophat,4,34.295556155196735,36.05541879581071
6,21,0.009105632362055272,tophat,4,34.60526841868747,36.080614478602826
10,66,0.00465171410637006,tophat,4,34.40196084606728,36.152869587422884
11,107,0.003299321104277816,tophat,4,34.64536860284704,36.15358630189084
10,35,0.0028083918048726867,exponential,4,34.53165888465597,36.166515911525664
3,71,0.005252866836935449,exponential,4,34.28575957935624,36.192406911667845
10,144,0.008020659879355914,tophat,4,34.225868766734976,36.19518180597777
3,109,0.001814261278472015,exponential,4,34.247300687260065,36.248659639353136
9,18,0.00404223684723107,tophat,3,34.544655745237606,36.2550591393386
3,79,0.006123014926047847,exponential,4,34.44852275470156,36.28376561215522
7,106,0.005931905557557668,gaussian,5,33.379328102211986,36.29502129502529
7,30,0.003981128676292847,tophat,4,34.487185516802825,36.321298743728846
10,15,0.00020719048033938925,gaussian,5,32.86895314557398,36.36595132881149
10,68,0.00730139662403497,tophat,4,34.53258780541972,36.405537410838264
9,146,0.00940718237680427,exponential,4,34.505143257958736,36.41999598014628
3,14,0.0005063351156815664,gaussian,3,34.555772816787254,36.43821808372178
4,91,0.0005729236831321375,gaussian,4,34.31789072308375,36.45243207084195
3,147,0.001931340089726126,exponential,4,34.58914718943822,36.53038399210527
5,22,0.0066732247615762545,tophat,3,35.59801076184962,36.53295718827667
9,136,0.009735100070730543,gaussian,4,34.2151576006559,36.53494177209362
6,29,0.0002645315056257775,exponential,3,34.601593488595626,36.550285366298
6,114,0.0085885301853299,exponential,4,34.315681196755634,36.55227340792746
3,17,0.006530022176988137,tophat,5,32.83570316818344,36.56242875853735
10,55,0.007267288524720258,exponential,3,35.034904376115016,36.59645286169756
10,22,0.007085845835408063,gaussian,4,34.453507585945374,36.64004984448715
3,20,0.006812537227984288,exponential,4,34.5512200375031,36.664808502928906
10,122,0.006525125877779245,gaussian,3,34.897772019807476,36.726894040379634
7,33,0.006606853273725189,gaussian,3,35.16827130513701,36.72848112214945
5,90,0.0049852111982001835,gaussian,3,34.86734594450408,36.731241680086924
6,92,0.009549791044764494,tophat,3,35.16950887345115,36.73286336961522
11,13,0.0002134965573710173,exponential,3,34.74017257245316,36.77282852455417
11,48,0.008573624515417887,exponential,3,35.00124739044219,36.79262414430116
10,121,0.00069633929571829,gaussian,3,35.0161261615371,36.796920735856474
10,52,0.004878837220363704,gaussian,3,35.05800222350841,36.81024154778075
6,38,0.006655221579584719,exponential,4,34.25937679804687,36.82674335662291
10,88,0.002888906407543222,exponential,3,35.04851777486191,36.83352228474476
5,119,0.0023715109155620574,exponential,3,35.05271278454023,36.83464936884823
